,Model,Dataset,RMSE,Training Time
0,LGBMRegressor,dataset_1,47.010510067031376,0.6927943706512452
1,LGBMRegressor,dataset_2,47.03002967621724,0.5955313682556153
2,LGBMRegressor,dataset_3,46.98460041174822,0.8033969402313232
3,LGBMRegressor,dataset_4,46.99100386720102,0.6065879821777344
4,XGBRegressor,dataset_1,46.56833158289303,0.8996120929718018
5,XGBRegressor,dataset_2,46.56833158289303,0.9704749107360839
6,XGBRegressor,dataset_3,46.56833158289303,0.8328103065490723
7,XGBRegressor,dataset_4,46.66546281768829,0.839204216003418
8,StackingRegressor,dataset_1,46.28465319492201,9.318825578689575
9,StackingRegressor,dataset_2,46.297879233974115,9.56360936164856
10,StackingRegressor,dataset_3,46.27246964024506,10.700177907943726
11,StackingRegressor,dataset_4,46.326187438908875,9.762559127807616
