,SVR,LGBMRegressor,DecisionTreeRegressor,XGBRegressor,StackingRegressor
dataset_1,3117.0926019792632,2402.606591325107,4390.181783561651,2372.2470642054523,2728.600613832204
dataset_2,3112.8101030453586,2395.7461023655815,4397.43157111733,2372.2470642054523,2729.02451197861
dataset_3,3114.379954461339,2385.9344122987495,4398.503548121209,2372.2470642054523,2725.0114149561036
dataset_4,3134.9431960795705,2395.6139549947675,4449.118010819971,2359.5278557961565,2743.3720260089563
