,Model,Dataset,RMSE,Training Time
0,XGBRegressor,dataset_1,19.812993154935914,0.5770416736602784
1,LGBMRegressor,dataset_1,20.339575413000695,0.32764739990234376
2,KerasRegressor,dataset_1,23.67899083388273,193.55047206878663
3,RandomForestRegressor,dataset_1,20.31920862576103,56.23714637756348
4,StackingRegressor,dataset_1,19.50992157246677,1283.4134748935699
